"","X","Timestamp","rho","logrange1","logrange2","logtau1","logtau2","logsig1","logsig2","var1","var2","corr"
"1",1,"2020-05-01 00:00:00",-3.73407983665823,-4.9940276646095,-4.9940276646095,-3.17125054224973,-3.17125054224973,-3.17125054224973,-3.17125054224973,0.626890115290628,0.0419511034597276,-0.9659609780115
"2",2,"2020-05-01 01:00:00",-3.76456773906425,-3.76456773906425,-3.76456773906425,-3.76456773906425,-3.81116806172913,-3.81116806172913,-3.81116806172913,0.3356392360903,0.0221223236200822,-0.966482789464883
"3",3,"2020-05-01 02:00:00",-5.29122218124472,-5.29122218124472,-5.29122218124472,-8.89346407910895,-11.2436493370705,-11.2436493370705,-6.45037021209326,0.044246641343819,0.00157993714861313,-0.999852066355961
"4",4,"2020-05-01 03:00:00",4.43697460867353,3.68049108447203,2.71787832174186,2.71787832174186,1.36030059196468,2.15968749042026,2.15968749042026,179.321553676643,8.66842826825519,0.975530555203158
"5",5,"2020-05-01 04:00:00",1.35021202242691,1.53028836274696,1.53028836274696,1.53028836274696,1.53028836274696,1.53028836274696,1.53028836274696,13.0412080690267,4.61950872448046,0.803601899241963
"6",6,"2020-05-01 05:00:00",-1.53864359509621,-2.52178661855219,-2.52178661855219,-2.52178661855219,-1.64376751474975,-1.64376751474975,-0.943567385601501,1.11473917550058,0.389236797901837,-0.909197738814954
"7",7,"2020-05-01 06:00:00",-2.19153222982435,-2.19153222982435,-2.19153222982435,-2.24152100801197,-2.24152100801197,-2.64510874645892,-2.3465080069868,0.530640203180669,0.095702772807605,-0.930700714071546
"8",8,"2020-05-01 07:00:00",-1.47119731498379,-2.04227667147823,-2.82821220406964,-2.82821220406964,-2.76342622549577,-2.33143321246689,-0.969221690515629,0.918290742468036,0.379378196874855,-0.945620774223551
"9",9,"2020-05-01 08:00:00",-0.772156044562449,0.558408265233709,-1.89853369856331,1.60297439477354,1.06634244761851,0.914519393140904,-0.194937143225139,2.98620096980873,0.822886380414401,-0.405336297933507
"10",10,"2020-05-01 09:00:00",2.9279867579902,-3.08248126746317,-3.84061818914717,-0.45860403594905,-0.583219365459135,-0.35873947805348,-0.35873947805348,6.68735398646275,0.698556316898967,0.946330122054222
"11",11,"2020-05-01 10:00:00",0.504201373501664,0.504201373501664,0.227074486777109,0.227074486777109,0.227074486777109,0.227074486777109,0.227074486777109,1.57394872756214,1.25492333965412,0.45021227548261
"12",12,"2020-05-01 11:00:00",2.48770459247259,-0.264634538922885,-0.17975146758809,2.20303896393851,2.20303896393851,1.5346457038374,1.52246360096399,33.0054892636096,4.58350322011292,0.927052844510322
"13",13,"2020-05-01 12:00:00",3.34160065435199,3.34160065435199,3.34160065435199,3.34160065435199,2.14931086703908,0.14241212866645,3.64184230463945,427.282071933519,38.1620781761316,0.998649802107326
"14",14,"2020-05-01 13:00:00",16.4469368351415,16.4469368351415,13.5687297503202,13.5687297503202,13.5687297503202,13.5687297503202,13.5687297503202,212127542.290989,781311.932366738,0.998156692225359
"15",15,"2020-05-01 14:00:00",0.90795155915554,0.90795155915554,0.90795155915554,0.90795155915554,1.75027568480159,2.0402440164204,2.0402440164204,14.0339872130865,7.6924860627899,0.672210821367049
"16",16,"2020-05-01 15:00:00",-2.52538361472488,-2.52538361472488,-2.52538361472488,-3.6286322490291,4.95666066011267,4.95666066011267,4.95666066011267,1048.48751865251,142.118420907746,-0.929760116581813
"17",17,"2020-05-01 16:00:00",-5.38411349496634,-6.9327847855767,-6.9327847855767,-6.9327847855767,-7.34572056641278,-7.70667651356286,-7.70667651356286,0.0134893256497682,0.000449813946209513,-0.983185680356484
"18",18,"2020-05-01 17:00:00",-1.147928203836,-1.147928203836,-1.90314486750979,-1.90314486750979,-1.90314486750979,0.831961577554671,0.831961577554671,5.32575128804504,2.29782167781755,-0.754019273376338
"19",19,"2020-05-01 18:00:00",1.29931327564525,1.98513429010592,1.98513429010592,1.98513429010592,2.82860828142908,2.82860828142908,2.97424624661144,49.9684711400336,19.5748630681582,0.813233407965937
"20",20,"2020-05-01 19:00:00",-0.802776143937834,-0.802776143937834,-0.267795488986634,-0.267795488986634,-0.267795488986634,-0.267795488986634,-0.267795488986634,1.2581095176373,0.765064229165439,-0.626014197276701
"21",21,"2020-05-01 20:00:00",2.76188834283485,1.17862191193238,-0.110595945360519,-0.55448525397988,-0.55448525397988,-2.88416801833241,-1.28001609637245,2.17674323645316,0.27803282509727,0.987075906731996
"22",22,"2020-05-01 21:00:00",-1.76008667047113,-1.76008667047113,-1.76008667047113,-1.76008667047113,-2.77925828487921,-2.77925828487921,-2.77925828487921,0.254416549643556,0.0620845393455444,-0.86946700585952
"23",23,"2020-05-01 22:00:00",2.14543848514077,2.14543848514077,2.14543848514077,2.14543848514077,2.14543848514077,0.968267574259514,0.968267574259514,14.754572258277,2.63337837281574,0.906378066003908
"24",24,"2020-05-01 23:00:00",1.82043728176649,1.82043728176649,1.62463354886875,1.62463354886875,1.08763615405075,1.08763615405075,1.51558084083378,18.0527561325308,4.55206438398771,0.914130419883184
"25",25,"2020-05-02 00:00:00",-1.87607450137411,-2.54768783258519,-0.314169646302907,-0.314169646302907,-0.314169646302907,-0.314169646302907,0.421249935028756,6.09387533543472,1.52386509808379,-0.93815923757253
"26",26,"2020-05-02 01:00:00",7.75458598192008,7.59299926811781,8.3696847545867,8.3696847545867,8.3696847545867,8.3696847545867,8.3696847545867,263747.226779986,4314.27579264389,0.991787469291173
