"","Lon","Lat","2020-03-01 05:00:00","2020-03-01 06:00:00","2020-03-01 07:00:00","2020-03-01 08:00:00","2020-03-01 09:00:00","2020-03-01 10:00:00","2020-03-01 11:00:00","2020-03-01 12:00:00","2020-03-01 13:00:00","2020-03-01 14:00:00","2020-03-01 15:00:00","2020-03-01 16:00:00","2020-03-01 17:00:00","2020-03-01 18:00:00","2020-03-01 19:00:00","2020-03-01 20:00:00","2020-03-01 21:00:00","2020-03-01 22:00:00","2020-03-01 23:00:00","2020-03-02 00:00:00","2020-03-02 01:00:00","2020-03-02 02:00:00","2020-03-02 03:00:00","2020-03-02 04:00:00","2020-03-02 05:00:00","2020-03-02 06:00:00","2020-03-02 07:00:00","2020-03-02 08:00:00","2020-03-02 09:00:00","2020-03-02 10:00:00","2020-03-02 11:00:00","2020-03-02 12:00:00","2020-03-02 13:00:00","2020-03-02 14:00:00","2020-03-02 15:00:00","2020-03-02 16:00:00","2020-03-02 17:00:00","2020-03-02 18:00:00","2020-03-02 19:00:00","2020-03-02 20:00:00","2020-03-02 21:00:00","2020-03-02 22:00:00","2020-03-02 23:00:00","2020-03-03 00:00:00","2020-03-03 01:00:00","2020-03-03 02:00:00","2020-03-03 03:00:00","2020-03-03 04:00:00","2020-03-03 05:00:00","2020-03-03 06:00:00","2020-03-03 07:00:00","2020-03-03 08:00:00","2020-03-03 09:00:00","2020-03-03 10:00:00","2020-03-03 11:00:00","2020-03-03 12:00:00","2020-03-03 13:00:00","2020-03-03 14:00:00","2020-03-03 15:00:00","2020-03-03 16:00:00","2020-03-03 17:00:00","2020-03-03 18:00:00","2020-03-03 19:00:00","2020-03-03 20:00:00","2020-03-03 21:00:00","2020-03-03 22:00:00","2020-03-03 23:00:00"
"1",-84.032691,35.065153,6.63948933413102,6.77272912786715,6.77680643205865,NA,NA,NA,NA,NA,NA,NA,6.87122510943582,6.86479805239704,5.96730139560263,NA,6.7556474740396,6.72877390917079,7.21835753279057,8.04186960573456,10.3912978074312,9.54550319994115,8.40632421476397,9.14384261760524,8.99153110123902,9.22032938530391,9.48121505042035,10.8416703844272,12.645942340891,11.4462852072722,12.0195956841638,14.4015407619211,16.730238663467,18.3277470890913,19.1221779300674,18.1383319308347,16.7841673173051,16.3843428880772,15.3966499764285,14.1816712607782,11.2608092635748,12.0600964321314,11.511293025269,10.3819085413446,8.93365893716215,7.95049435236028,6.03047719859257,4.70613295969578,4.41319055451694,4.53783861621171,4.22872966437204,4.4939849549867,4.2325397286472,4.56197256116433,5.3300909463843,5.21629179905786,4.88649217500763,NA,5.1835264941237,4.69964604217636,6.51337977670126,6.30523266329868,5.57582924090022,4.66005501577138,5.39549924507985,NA,NA,NA,2.35234069209968
"2",-83.727539,35.085938,4.85508486567849,4.92723542866747,5.34672190912965,4.99459456299443,4.76936134168341,5.41993179728008,4.63695888392729,4.24152702934143,3.89212669923124,4.37229314797196,3.79767698609588,3.6756007296258,3.84981124701274,3.57269560072706,4.18483089439735,4.83575903867112,5.90107302408027,6.30685338154319,6.8058528217403,6.81377076800015,7.08594938904376,7.45200769035503,7.10465580483438,7.97222762333333,7.85521365238175,8.15619734172183,9.87629019034871,9.87639394326252,8.22228214280232,7.99728629436328,8.18930111903431,9.58334584251125,11.322744232896,13.2214269221079,14.8028878112839,13.6600143446917,14.3394607218711,13.39771019153,12.5429243504258,11.2755448446911,8.87888377080511,7.85134139019829,7.21940837656867,6.84997926688713,6.33321727959259,4.22822486199585,4.89083581877875,5.3857837469236,5.86610055761473,4.16029853779652,4.44451559097581,3.88193993028596,4.04561544545347,3.50753425090174,3.76039821684452,4.19138018381965,4.00727289695977,3.17332880076538,3.29529509717,3.36757365732243,3.58414765746214,4.35232732466041,6.62606995724643,NA,NA,NA,2.46164631078061
"3",-83.629564,35.376694,4.39947564974782,4.47556492172829,4.58630161323459,4.42833424498136,4.18963227354306,4.48772384877003,4.33542280404846,3.98891375091062,3.82856663637384,3.59405057089076,3.60587393174548,4.28459571280968,4.20812710860092,4.07501802863166,4.9912229174834,5.30144401067276,5.58661734684853,5.73303977655686,6.12000589041021,6.05109335297409,6.03974680691388,5.91575520465148,6.38944249091401,6.27831683267553,6.12334721091189,7.79761591449881,10.1767233054167,8.13786010249464,8.7147982192242,7.24947653252216,7.95880598781032,8.3669938895506,9.17593056742042,9.77251742074421,10.3169407936597,10.692210248716,13.325707273888,21.9434791717406,20.4766164962327,16.7030600314151,15.5603466876692,15.7542365826395,13.1419118933225,11.2051017268978,10.5496570330146,12.5166043292163,13.6568322311062,13.4103368832193,11.4768244764362,11.6011864871719,12.1223821617423,12.6877356487908,12.3686777588429,12.3999883751439,12.5441251137826,9.23932520061667,7.59587575198646,6.22721482934442,5.3199538545349,4.828222278022,4.53026225370265,4.62346329933886,3.41355721445978,NA,NA,2.10351812816505,NA
"4",-83.188733,35.053735,5.42348458771588,5.40172967829798,5.52635479084887,5.72965216299838,5.67421458284119,5.42130465541468,5.20028720710325,5.37283565642133,5.15974384621501,5.05461477402136,NA,NA,NA,5.02822966116446,NA,5.21423691012613,6.06488771880471,6.45263066060456,7.38754965709219,6.90034571656002,6.16602765399006,6.96012305517108,20.9273977669336,13.4738749760588,14.205200204185,59.9194717316136,46.73398674898,12.1702612269006,12.5352371907105,15.0085214320528,16.7583330346452,15.380978992409,NA,NA,NA,NA,NA,8.93291218144117,9.23180553961311,10.707888482209,10.6488379983516,7.83752104264057,4.29107991372567,4.14755988018721,4.18944796964315,3.99057872517078,2.90656587893741,NA,2.39792301018678,2.78677188618468,2.97094459312395,2.87861708405566,3.22269842357162,3.80934745798463,3.67045388141204,2.94135040896963,3.16896053356886,3.37716485404462,4.27553155685873,4.5165519926023,4.59795333727651,3.3231625039249,2.98487903884821,NA,NA,NA,3.61947429597634
"5",-82.874983,35.201137,5.52457436012046,5.46351014756774,6.02016756530418,6.01794380376575,5.70394671464264,5.52210986155375,5.31203253982926,5.27125878716548,5.43901302802215,5.2498498523833,4.86953077889559,4.88607038743712,4.67550862226881,4.89782968651415,5.36821062095313,5.88920156949533,5.87334337538463,6.33187256661817,6.08739631743735,6.07047181706877,13.4668407220317,30.7640863154832,15.894121363284,10.3376261114526,8.69780992545506,8.82511059614444,9.16628953949053,9.71119037475337,11.3438271096032,15.5756691856307,18.1675802035493,18.4534204076061,16.8284866109312,14.394107322301,14.0610489189965,14.1808687038885,13.8523727589681,9.83568820088963,9.510691061503,9.64438672674434,11.0482572400161,11.9924007680847,9.20869374010807,7.30328766084149,4.37150493245082,4.69554288264969,4.31006765801741,3.11344098092791,1.93549604490835,2.43492444705291,3.92110668970755,3.66445845162884,3.24360778400329,3.55676824789523,4.02067422115307,3.35777378605879,2.50638105491586,2.91512017848107,2.86602548743642,3.63344157813223,4.74709314850597,4.21612654654079,3.23221406254678,2.88046584105476,NA,NA,2.59683383715862
"6",-82.687333,35.28551,6.95883191673641,6.79536461814536,6.92740105831318,6.66242005190725,6.74267021164852,6.95743527231718,7.36813026995159,6.04908071420342,5.35550718480578,5.24874203872257,5.19061991347586,5.19766716616312,5.16577119649983,5.46720992020436,6.67708316865183,6.51970154852993,6.11825726938479,NA,6.62218589630319,6.7307864847455,7.41681933106105,16.2643389412705,34.9285539998852,27.0484613384689,21.6808682927076,15.2604407553576,16.7836765403178,14.1734002955903,13.030966021707,11.0035607464082,11.0582542718546,15.3014825850785,17.3276141746836,16.5848561635204,14.3264866340484,13.3198986750203,13.5676565894033,13.5503228265661,12.5605299492454,NA,11.4559939927091,12.4097140445583,13.5675305980944,12.8413798109946,10.3728363143726,9.03419788251085,9.30079441114499,8.87588111226964,8.94308710484681,7.93559580540235,6.64095370487074,4.56235868490118,5.23252564526076,4.31545336379677,5.09522735837592,5.75147547945816,3.7209831549413,3.46189466254551,3.90994451074321,4.13803700973572,4.56725664627639,4.0512526126896,2.67296310435434,NA,NA,NA,NA
"7",-82.56709,35.60681,6.956111,7.208217,7.521165,7.207429,7.06671,8.717784,9.390985,9.948166,10.81311,8.979221,12.51405,10.05776,11.47314,13.5402,12.30079,8.500269,7.584446,6.85906,6.199405,6.806248,6.823526,6.535636,6.757138,10.9122,25.45918,22.12214,15.17927,11.90791,10.64362,10.90394,12.21931,15.06178,17.58169,18.85635,17.30194,15.33428,15.18584,16.49384,12.51747,10.87093,10.35642,10.59119,11.34765,10.88744,8.380629,6.337602,5.703318,6.54206,9.982907,7.160988,5.463527,5.35403,6.024841,5.252469,5.645109,6.46666,8.325294,5.684371,4.082942,4.131963,3.006885,2.254745,2.460857,2.212557,2.223128,2.637563,3.452454
"8",-82.56239,35.20294,5.19715,5.152439,5.086582,4.975105,4.73515,4.510654,4.793571,4.632163,4.436162,4.100154,3.908454,4.030286,4.014882,3.681794,4.96588,5.525725,5.494014,5.730295,6.129109,6.286353,6.53747,7.702691,26.41707,20.17047,14.07771,8.458798,8.172058,9.079627,10.409,10.60211,11.71162,13.45887,11.82306,12.16889,11.05067,12.61097,10.57707,8.53928,8.838078,9.508197,11.0151,11.70616,8.911701,7.778939,6.26392,5.142065,4.735932,4.450245,3.457489,4.085173,4.087687,3.898351,3.603011,3.896936,3.778211,3.775123,3.272171,3.538488,3.694029,4.399509,4.552409,4.423896,3.026277,NA,NA,NA,1.938643
"9",-82.55147,35.48332,6.282536,6.612448,6.851902,7.003664,7.516831,7.281467,6.862532,6.166441,7.144723,8.980997,9.181675,8.684206,9.459252,12.26686,10.23099,8.492257,6.586899,6.029371,5.881314,5.834218,6.10369,6.808395,6.958191,17.03313,22.59189,17.69927,11.8574,10.165,10.10893,10.64729,12.53261,16.17873,17.37604,16.44263,14.65437,13.2677,12.74588,12.74601,11.83511,9.929865,9.549206,10.32621,11.22576,10.04009,8.392539,6.199065,5.514108,6.640046,6.172307,4.801505,4.273118,4.208818,3.818404,3.954727,4.366198,4.472115,4.668163,3.622138,3.461844,3.297628,3.742376,2.681362,2.569781,NA,1.989082,NA,2.33154
"10",-82.52081,35.64941,6.255809,6.83241,7.246252,6.834654,6.559132,6.408695,5.878543,6.540434,6.796028,7.277497,6.721741,6.04098,5.534027,5.649182,6.575788,6.984909,6.808548,6.671992,6.314919,6.597984,6.988415,6.922806,6.851375,7.778324,16.8576,18.98628,15.65556,12.68391,11.50545,11.70996,13.16637,15.27858,17.51415,19.00938,17.81083,16.70022,15.08872,13.25326,11.46145,10.97678,10.30481,10.17132,11.09757,10.38748,7.552752,5.640061,5.237906,4.861831,5.096989,4.726649,4.325139,3.841907,3.73261,3.522423,3.454363,3.488176,4.283749,4.05882,3.787902,4.052536,NA,NA,NA,NA,NA,NA,NA
"11",-82.46072,35.31583,5.826206,5.792562,7.057352,6.919418,6.592543,6.213563,6.128335,6.252937,6.085977,7.086503,5.909045,6.200249,6.692036,7.025668,7.423759,7.17092,8.094224,7.759954,7.851427,7.880798,8.248174,7.401452,9.242945,23.87064,17.09753,14.08009,11.53887,16.09775,12.87724,12.46407,11.20926,11.59925,12.17657,12.19098,12.14517,13.80256,11.71452,9.173555,8.578841,8.29565,9.71062,10.74225,9.77395,6.593314,5.307847,4.535768,4.593167,5.463806,5.036782,5.527373,3.91221,3.753505,3.779688,4.345016,4.858936,5.803027,5.320337,3.749739,3.182451,3.418986,4.697932,3.56064,2.534272,2.372482,2.361613,3.631509,6.292239
"12",-82.34692,35.87184,5.004543,5.28521,5.570613,5.456477,5.387992,5.179453,4.8791,5.011679,5.032121,4.93699,NA,NA,NA,NA,NA,NA,NA,5.210173,5.49007,6.167603,6.508008,6.380826,6.458309,6.148747,5.971167,7.752355,17.68228,14.04624,10.90963,10.18562,10.50888,13.28369,15.5167,16.12796,16.92372,21.43767,17.54166,13.43955,8.765943,5.648263,4.897777,6.263997,6.262484,5.35294,3.500984,2.796199,2.56117,2.352553,NA,2.207505,2.48544,2.812312,2.976364,3.046768,3.749217,4.269519,3.993966,3.168007,3.309628,3.18454,NA,NA,NA,NA,NA,NA,NA
"13",-81.27348,36.24867,4.310503,4.159408,4.042482,4.033584,3.913536,3.860115,3.823166,4.99656,6.040127,5.302178,4.864596,5.030049,7.16672,5.860414,4.651807,5.641698,5.886917,6.215854,6.339685,6.403167,6.456858,5.938853,5.156902,5.354822,11.00523,10.37845,20.05866,7.041143,9.524688,13.6276,12.13802,7.874109,7.720208,8.011583,8.460729,10.1207,10.99551,12.83712,14.01377,12.39848,11.93789,11.60921,11.02556,11.39013,12.32184,11.48026,9.838543,8.208883,7.182637,7.289849,12.0447,13.00346,11.53389,10.13875,10.63955,9.668493,9.405865,7.570626,7.084047,7.042936,7.031121,7.013581,7.287365,6.511307,5.544221,2.988738,2.596737
"14",-81.168,35.93038,6.260773,6.72105,9.867254,7.309476,9.897022,11.36423,7.469735,7.217711,6.596983,7.272469,8.337491,9.243044,7.423807,7.670166,8.3806,9.109167,8.57702,7.881486,6.804229,6.862471,7.171416,7.118001,7.685806,8.841718,7.709808,7.660649,9.763665,9.112398,8.965414,8.839582,9.269758,10.22784,9.979223,10.26256,11.72286,12.86598,13.44116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",-81.09334,35.28501,8.648365,8.286322,7.380466,7.411062,6.655034,5.919207,6.258701,6.60519,7.236282,7.797502,8.348317,8.745315,10.43065,11.61534,8.108213,7.511406,7.744947,7.881898,7.085317,6.760379,6.70719,6.999154,7.406019,7.015173,9.256624,17.32955,8.128381,10.16959,9.182305,9.456134,9.458309,9.515707,9.921812,10.46588,10.77957,10.34933,10.39017,10.00656,10.34261,11.02051,13.20173,12.08389,11.02627,14.03309,10.68212,9.224863,8.472784,8.40338,9.07098,8.897903,8.845708,8.98671,9.361215,10.10743,10.92197,11.42286,12.51002,12.2697,10.36304,9.868634,9.385851,10.85229,8.448716,4.222921,2.99992,2.581349,2.621194
