"","Lon","Lat","Timestamp","y"
"92",-82.5844,35.6062,2020-01-07 09:00:00,3.3
"93",-82.5844,35.6062,2020-01-07 10:00:00,18
"94",-82.5844,35.6062,2020-01-07 12:00:00,0.9
"95",-82.5844,35.6062,2020-01-07 14:00:00,0.9
"96",-82.5844,35.6062,2020-01-07 15:00:00,1.9
"97",-82.5844,35.6062,2020-01-07 17:00:00,3.9
"98",-82.5844,35.6062,2020-01-07 19:00:00,2.9
"99",-82.5844,35.6062,2020-01-08 00:00:00,0.9
"100",-82.5844,35.6062,2020-01-08 01:00:00,1
"101",-82.5844,35.6062,2020-01-08 03:00:00,0.9
"102",-82.5844,35.6062,2020-01-08 04:00:00,2.9
"103",-82.5844,35.6062,2020-01-08 05:00:00,1
"104",-82.5844,35.6062,2020-01-08 06:00:00,1
"105",-82.5844,35.6062,2020-01-08 07:00:00,1.9
"106",-82.5844,35.6062,2020-01-08 09:00:00,3.9
"107",-82.5844,35.6062,2020-01-08 10:00:00,3
"108",-82.5844,35.6062,2020-01-08 11:00:00,4.9
"109",-82.5844,35.6062,2020-01-08 12:00:00,2
"110",-82.5844,35.6062,2020-01-08 13:00:00,2.9
"111",-82.5844,35.6062,2020-01-08 14:00:00,1
"112",-82.5844,35.6062,2020-01-08 16:00:00,1.9
"113",-82.5844,35.6062,2020-01-08 20:00:00,4.9
"114",-82.5844,35.6062,2020-01-08 21:00:00,1
"115",-82.5844,35.6062,2020-01-08 22:00:00,6.9
"116",-82.5844,35.6062,2020-01-08 23:00:00,5
"117",-82.5844,35.6062,2020-01-09 00:00:00,7.9
"118",-82.5844,35.6062,2020-01-09 01:00:00,9.9
"119",-82.5844,35.6062,2020-01-09 02:00:00,10
"120",-82.5844,35.6062,2020-01-09 03:00:00,8
"121",-82.5844,35.6062,2020-01-09 04:00:00,9.9
"122",-82.5844,35.6062,2020-01-09 05:00:00,15.1
"123",-82.5844,35.6062,2020-01-09 06:00:00,6
"124",-82.5844,35.6062,2020-01-09 07:00:00,6
"125",-82.5844,35.6062,2020-01-09 08:00:00,6
"126",-82.5844,35.6062,2020-01-09 09:00:00,3
"127",-82.5844,35.6062,2020-01-09 10:00:00,5.9
"128",-82.5844,35.6062,2020-01-09 11:00:00,7.9
"129",-82.5844,35.6062,2020-01-09 12:00:00,4
"130",-82.5844,35.6062,2020-01-09 14:00:00,3.9
"131",-82.5844,35.6062,2020-01-09 16:00:00,2.9
"132",-82.5844,35.6062,2020-01-09 17:00:00,2
"133",-82.5844,35.6062,2020-01-09 18:00:00,2.9
"134",-82.5844,35.6062,2020-01-09 19:00:00,3
"135",-82.5844,35.6062,2020-01-09 20:00:00,3.8
"136",-82.5844,35.6062,2020-01-09 21:00:00,3
"137",-82.5844,35.6062,2020-01-09 22:00:00,3.9
"138",-82.5844,35.6062,2020-01-09 23:00:00,4
"139",-82.5844,35.6062,2020-01-10 00:00:00,2
"140",-82.5844,35.6062,2020-01-10 01:00:00,1
"141",-82.5844,35.6062,2020-01-10 02:00:00,3.9
"142",-82.5844,35.6062,2020-01-10 03:00:00,3
"143",-82.5844,35.6062,2020-01-10 04:00:00,1
"144",-82.5844,35.6062,2020-01-10 05:00:00,3.9
"145",-82.5844,35.6062,2020-01-10 06:00:00,3
"146",-82.5844,35.6062,2020-01-10 07:00:00,3.9
"147",-82.5844,35.6062,2020-01-10 08:00:00,2
"148",-82.5844,35.6062,2020-01-10 09:00:00,3.9
"149",-82.5844,35.6062,2020-01-10 10:00:00,3
"150",-82.5844,35.6062,2020-01-10 11:00:00,1
"151",-82.5844,35.6062,2020-01-10 12:00:00,4.9
"152",-82.5844,35.6062,2020-01-10 13:00:00,3
"153",-82.5844,35.6062,2020-01-10 14:00:00,9.9
"154",-82.5844,35.6062,2020-01-10 15:00:00,3
"155",-82.5844,35.6062,2020-01-10 16:00:00,2
"156",-82.5844,35.6062,2020-01-10 17:00:00,2
"157",-82.5844,35.6062,2020-01-10 18:00:00,2.9
"158",-82.5844,35.6062,2020-01-10 19:00:00,3
"159",-82.5844,35.6062,2020-01-10 20:00:00,6.9
"160",-82.5844,35.6062,2020-01-10 21:00:00,8.9
"161",-82.5844,35.6062,2020-01-10 22:00:00,6.9
"162",-82.5844,35.6062,2020-01-10 23:00:00,7
"163",-82.5844,35.6062,2020-01-11 00:00:00,5
